Alexander,Walley,31,2,73,72,25,22,19,96,79,78,22,79,137302,Diamondbacks,0,0
Steve,Mcelroy,39,3,33,3,5,83,47,35,61,57,21,16,5376,Diamondbacks,0,0
Patrick,Jackson,28,4,91,83,90,14,84,9,31,60,92,7,4508,Diamondbacks,0,0
John,Harvey,37,5,59,29,73,83,67,97,91,67,70,41,117670,Diamondbacks,0,0
Robert,Fong,26,6,94,47,18,69,20,28,58,14,93,13,15717,Diamondbacks,0,0
Bruno,Sawyer,37,7,55,80,20,74,89,44,22,84,10,22,4840,Diamondbacks,0,0
Kristofer,Tardiff,39,8,48,72,57,57,2,79,18,3,73,33,79497,Diamondbacks,0,0
Cecil,Armenta,25,9,64,60,20,97,27,56,83,3,46,78,279864,Diamondbacks,0,0
Larry,Candland,20,8,45,38,35,54,52,46,28,55,44,55,133100,Diamondbacks,0,0
Matthew,Tirado,23,8,83,3,12,4,15,34,26,93,22,19,7942,Diamondbacks,0,0
Edward,Wease,23,7,73,39,11,48,91,78,29,54,31,25,19375,Diamondbacks,0,0
Richard,More,29,2,31,67,70,27,72,62,55,40,94,19,33934,Diamondbacks,0,0
Glenn,Laing,24,2,67,64,47,74,64,5,87,62,56,22,27104,Diamondbacks,0,0
Dexter,Ruth,24,1,4,80,94,71,33,4,73,16,78,72,404352,Diamondbacks,0,0
Edward,Chase,32,1,1,93,43,75,78,56,41,46,94,4,1504,Diamondbacks,0,0
Michael,Perretta,39,1,1,33,62,5,65,42,44,81,75,69,357075,Diamondbacks,0,0
Ernie,Hayden,22,1,8,62,65,13,47,19,97,51,46,6,1656,Diamondbacks,0,0
Norbert,Hann,20,1,8,22,72,86,18,7,62,43,72,7,3528,Diamondbacks,0,0
Alex,Ludwig,39,1,13,71,68,15,14,84,7,66,8,1,8,Diamondbacks,0,0
Stephen,Kane,34,1,8,73,52,56,2,2,4,90,33,29,27753,Diamondbacks,0,0
Darrell,Kim,34,1,7,86,76,92,32,35,86,47,56,81,367416,Diamondbacks,0,0
Jonathan,Nunes,37,1,5,99,54,81,39,68,82,70,85,3,765,Diamondbacks,0,0
Thomas,Jones,21,1,3,15,33,52,84,72,88,78,34,94,300424,Diamondbacks,0,0
Matthew,Lopez,34,1,4,53,13,83,77,56,14,20,93,84,656208,Diamondbacks,0,0
Martin,Lopez,24,1,7,93,51,18,30,43,36,9,22,11,2662,Diamondbacks,0,0
Charles,Bess,35,1,1,34,27,72,98,22,82,31,29,96,267264,Diamondbacks,0,0
George,Robinson,31,2,89,17,44,2,32,27,63,93,98,19,35378,Braves,0,0
Walter,Coleman,32,3,92,40,1,63,43,70,66,69,90,65,380250,Braves,0,0
James,Redner,32,4,57,78,88,71,49,24,63,38,97,52,262288,Braves,0,0
Dennis,Payne,35,5,47,93,54,2,63,99,51,57,84,80,537600,Braves,0,0
Mario,Tibbs,37,6,59,29,70,86,30,97,29,87,41,24,23616,Braves,0,0
Samuel,Favela,31,7,59,4,39,19,50,72,84,72,88,12,12672,Braves,0,0
Frank,Licht,33,8,79,67,21,10,90,83,44,24,81,51,210681,Braves,0,0
Brian,Zambrano,29,9,42,80,74,71,87,86,48,12,49,64,200704,Braves,0,0
Allan,Stanley,33,8,86,23,83,27,72,94,67,35,64,38,92416,Braves,0,0
James,Rivera,26,5,73,43,31,91,49,26,6,12,80,18,25920,Braves,0,0
Dusty,Igbal,26,7,37,51,45,21,74,14,78,43,56,90,453600,Braves,0,0
Alvin,Galayda,21,3,39,61,14,66,88,32,31,46,45,17,13005,Braves,0,0
Mark,Carson,34,5,61,18,95,8,79,8,54,73,7,3,63,Braves,0,0
Zack,Sandahl,37,1,9,98,46,24,20,17,53,36,15,1,15,Braves,0,0
Alexander,Brown,38,1,1,10,92,64,28,10,77,69,50,71,252050,Braves,0,0
Allen,Valentin,37,1,6,28,69,88,71,57,44,17,17,32,17408,Braves,0,0
George,Hines,24,1,6,99,30,46,83,29,9,41,98,4,1568,Braves,0,0
John,Natividad,22,1,7,63,95,18,91,46,30,57,83,47,183347,Braves,0,0
Charles,Adams,34,1,7,75,62,77,26,87,51,59,29,55,87725,Braves,0,0
Vincent,Won,31,1,2,96,92,16,75,54,61,80,83,82,558092,Braves,0,0
Aaron,Hurst,30,1,2,57,92,18,32,61,5,29,24,5,600,Braves,0,0
Michael,Dauzat,28,1,5,17,10,90,84,48,38,76,90,59,313290,Braves,0,0
Robert,Davenport,35,1,8,60,89,81,58,75,81,98,65,88,503360,Braves,0,0
Hugh,Watson,30,1,3,1,75,49,88,13,3,19,51,51,132651,Braves,0,0
Matthew,Young,34,1,3,38,10,38,80,33,65,58,15,70,73500,Braves,0,0
Donald,Creech,37,1,5,51,49,6,3,14,25,60,27,52,73008,Braves,0,0
Leon,Urbaniak,31,2,97,21,11,77,85,37,27,89,82,27,59778,Orioles,0,0
Ramiro,Wallis,29,3,89,96,9,25,52,71,81,44,61,19,22021,Orioles,0,0
Kenneth,Hartman,22,4,80,1,74,33,94,34,40,28,44,88,340736,Orioles,0,0
William,Cochran,35,5,56,5,39,64,33,48,86,17,41,56,128576,Orioles,0,0
Kevin,Schoof,21,6,59,41,56,42,72,38,82,10,65,98,624260,Orioles,0,0
Salvatore,Chong,29,7,56,71,16,28,1,8,22,66,65,20,26000,Orioles,0,0
Philip,Taylor,29,8,35,21,50,74,11,49,46,3,85,56,266560,Orioles,0,0
David,Mosqueda,26,9,86,36,6,81,98,95,14,77,92,67,412988,Orioles,0,0
Fidel,Krings,22,6,33,65,9,20,83,36,51,81,92,42,162288,Orioles,0,0
Harold,Fremont,36,4,59,7,93,49,45,55,40,56,71,24,40896,Orioles,0,0
Benjamin,Giel,29,7,54,7,51,19,80,34,36,40,5,82,33620,Orioles,0,0
Stanley,Gates,24,8,77,5,51,67,5,95,90,86,3,3,27,Orioles,0,0
Robert,Bush,25,3,86,34,26,94,54,8,14,99,72,68,332928,Orioles,0,0
Dennis,Moore,30,1,3,66,85,91,95,35,70,23,53,1,53,Orioles,0,0
Floyd,Etter,35,1,3,38,53,46,72,88,2,31,40,48,92160,Orioles,0,0
Clyde,Roberson,21,1,2,91,8,55,9,14,17,77,30,82,201720,Orioles,0,0
Quentin,Nelson,37,1,7,84,78,6,15,37,81,6,53,51,137853,Orioles,0,0
William,Evans,31,1,3,31,15,23,99,35,21,68,30,40,48000,Orioles,0,0
Ted,Jackson,28,1,16,21,77,42,18,41,12,69,65,92,550160,Orioles,0,0
Norman,Young,33,1,4,75,17,89,47,11,57,51,44,14,8624,Orioles,0,0
Michael,Isham,38,1,8,20,27,49,52,23,91,67,71,37,97199,Orioles,0,0
Charles,Riddle,27,1,9,23,69,98,53,51,43,32,95,51,247095,Orioles,0,0
Joshua,Kabrick,35,1,4,98,21,64,29,58,15,24,84,37,114996,Orioles,0,0
Dante,Roye,24,1,18,75,32,57,12,3,28,1,94,13,15886,Orioles,0,0
John,Roth,22,1,9,43,80,95,59,76,28,4,16,97,150544,Orioles,0,0
Jorge,Smith,37,1,3,12,20,28,53,59,70,82,6,25,3750,Orioles,0,0
Elijah,Perez,27,2,58,2,45,3,23,87,16,25,93,48,214272,Red Sox,0,0
Calvin,Johnson,39,3,57,25,51,50,30,73,65,11,46,22,22264,Red Sox,0,0
Nicholas,Blackmon,20,4,36,44,3,98,37,98,15,14,64,9,5184,Red Sox,0,0
Gary,Traina,29,5,36,35,68,98,6,6,65,28,3,34,3468,Red Sox,0,0
David,Watson,25,6,75,82,46,29,3,55,31,34,90,79,561690,Red Sox,0,0
Joe,Cole,35,7,40,93,56,89,3,2,98,52,35,73,186515,Red Sox,0,0
Frank,Thompson,25,8,96,29,96,11,78,19,16,6,27,28,21168,Red Sox,0,0
Barry,Ray,27,9,30,28,73,73,26,57,43,31,51,37,69819,Red Sox,0,0
Jason,Shuler,20,7,81,70,43,36,6,8,43,40,7,55,21175,Red Sox,0,0
Frank,Reeves,29,4,93,68,95,63,77,12,51,50,28,79,174748,Red Sox,0,0
James,Peterson,37,4,83,77,26,14,68,91,4,96,94,51,244494,Red Sox,0,0
Randall,Coleman,38,3,54,42,72,11,48,78,69,6,95,47,209855,Red Sox,0,0
Michael,Moreschi,37,4,42,40,43,47,68,91,61,9,91,15,20475,Red Sox,0,0
Dillon,Holman,28,1,6,31,57,8,69,97,58,60,70,82,470680,Red Sox,0,0
Thomas,Wilson,28,1,2,14,14,3,33,38,95,59,69,75,388125,Red Sox,0,0
George,Gidney,31,1,3,8,74,67,18,9,27,45,21,52,56784,Red Sox,0,0
Calvin,Ziegler,29,1,8,72,59,2,30,74,89,91,56,20,22400,Red Sox,0,0
Lewis,Guererro,38,1,2,36,36,53,16,16,61,5,14,81,91854,Red Sox,0,0
Brian,Osullivan,37,1,9,40,1,86,41,6,10,14,93,73,495597,Red Sox,0,0
Eddie,Mcdaniel,23,1,2,64,72,12,17,43,96,46,6,11,726,Red Sox,0,0
Louis,Viles,31,1,2,79,27,86,48,5,94,75,81,32,82944,Red Sox,0,0
Robert,Sanchez,39,1,5,5,89,29,41,2,1,28,44,91,364364,Red Sox,0,0
Jim,Silverberg,25,1,2,91,23,98,53,5,84,41,24,23,12696,Red Sox,0,0
Ronald,Okoye,20,1,2,7,36,61,13,60,24,7,90,43,166410,Red Sox,0,0
Oscar,Saavedra,30,1,1,34,29,2,42,82,84,31,92,3,828,Red Sox,0,0
Daniel,Bickel,24,1,7,42,25,67,7,51,38,8,9,86,66564,Red Sox,0,0
Anthony,Bergeron,26,2,31,9,24,56,5,3,4,72,83,39,126243,Cubs,0,0
Ryan,Cotton,21,3,92,10,58,85,35,44,75,80,77,82,517748,Cubs,0,0
Charles,Mohr,28,4,36,21,13,83,94,42,75,4,1,83,6889,Cubs,0,0
Jason,Bass,32,5,67,84,72,9,12,41,87,25,80,43,147920,Cubs,0,0
Gerald,Kowal,35,6,95,12,70,10,99,68,5,45,45,29,37845,Cubs,0,0
James,Mroz,33,7,77,18,65,76,33,84,62,96,36,46,76176,Cubs,0,0
Justin,Hillyer,25,8,40,31,78,89,62,49,55,45,46,27,33534,Cubs,0,0
Brian,Brown,28,9,71,92,15,89,59,58,38,16,44,43,81356,Cubs,0,0
Victor,Delafuente,33,3,80,44,15,44,53,55,74,90,31,7,1519,Cubs,0,0
Dane,Howton,34,5,71,52,66,92,13,28,66,45,46,3,414,Cubs,0,0
Leonard,Lucas,23,5,71,58,39,66,43,71,25,52,83,26,56108,Cubs,0,0
William,Ohno,31,3,90,94,19,84,94,83,63,4,81,99,793881,Cubs,0,0
Michale,Audet,30,3,39,45,77,68,68,43,84,63,93,49,223293,Cubs,0,0
Darryl,Rector,31,1,7,20,63,82,76,3,34,67,60,34,69360,Cubs,0,0
Son,Geary,22,1,2,13,91,13,25,25,81,60,42,37,57498,Cubs,0,0
Richard,Martin,23,1,9,7,59,81,27,72,25,7,95,47,209855,Cubs,0,0
Allen,Chandler,26,1,8,91,29,68,24,83,28,1,4,60,14400,Cubs,0,0
Luis,Mills,23,1,5,20,81,80,37,67,5,63,30,50,75000,Cubs,0,0
Jeffrey,Stewart,21,1,4,1,48,46,65,52,51,14,27,36,34992,Cubs,0,0
Jonathan,Jarvis,31,1,5,55,1,70,98,98,43,55,47,95,424175,Cubs,0,0
Christopher,Jenkins,34,1,1,20,28,91,89,6,66,54,70,55,211750,Cubs,0,0
Francisco,Stanley,26,1,9,8,77,70,29,88,23,20,50,26,33800,Cubs,0,0
Charles,Kinsler,27,1,7,5,75,65,30,8,54,5,45,1,45,Cubs,0,0
Marcus,Valle,21,1,17,88,20,48,92,44,69,53,59,70,289100,Cubs,0,0
Robert,Aguila,23,1,1,67,38,84,82,94,2,53,97,78,590148,Cubs,0,0
Robert,Long,34,1,3,63,89,69,50,67,86,65,74,39,112554,Cubs,0,0
Joe,Green,32,2,64,87,54,57,72,38,62,79,60,61,223260,White Sox,0,0
Eddie,Gariepy,37,3,89,38,69,13,84,79,82,14,76,85,549100,White Sox,0,0
Samuel,Letellier,36,4,59,72,93,38,55,75,69,68,64,5,1600,White Sox,0,0
Martin,Walker,39,5,93,42,37,92,76,69,47,64,27,85,195075,White Sox,0,0
Curtis,White,39,6,67,73,22,20,44,57,91,47,34,60,122400,White Sox,0,0
David,Cothran,39,7,75,64,19,86,43,73,1,96,15,83,103335,White Sox,0,0
Scott,Cessna,31,8,36,57,87,44,99,43,23,11,79,61,293959,White Sox,0,0
Alvin,Fitch,30,9,76,39,29,13,28,77,15,80,89,67,399521,White Sox,0,0
Steven,Stack,26,7,89,66,11,96,37,50,95,42,16,69,76176,White Sox,0,0
Samuel,Hankin,23,5,64,56,46,61,52,77,3,48,46,21,20286,White Sox,0,0
Darwin,Volk,34,8,45,53,79,86,90,13,9,93,41,36,53136,White Sox,0,0
Eugene,Hoskins,32,6,65,79,33,15,48,1,28,81,27,36,34992,White Sox,0,0
Jerome,Meehan,23,7,30,78,27,54,63,40,90,1,45,67,202005,White Sox,0,0
Nelson,Roberts,39,1,7,53,80,67,46,38,19,79,54,93,467046,White Sox,0,0
Richard,Whiteford,39,1,5,78,93,85,7,48,85,45,64,32,65536,White Sox,0,0
Marco,Ward,26,1,7,92,17,7,75,93,84,59,15,55,45375,White Sox,0,0
Denis,Dotson,35,1,9,24,35,53,95,15,94,65,53,84,373968,White Sox,0,0
Richard,Scarborough,31,1,4,41,57,37,12,22,71,43,97,37,132793,White Sox,0,0
Christopher,King,22,1,6,87,64,35,66,80,58,71,41,57,133209,White Sox,0,0
